epoch	loss	acc	lr
1	tensor(4.6067, device='cuda:0')	tensor(0.0157, device='cuda:0')	0.1
2	tensor(4.2552, device='cuda:0')	tensor(0.0107, device='cuda:0')	0.1
3	tensor(4.0755, device='cuda:0')	tensor(0.0173, device='cuda:0')	0.1
4	tensor(3.9403, device='cuda:0')	tensor(0.0272, device='cuda:0')	0.1
5	tensor(3.8079, device='cuda:0')	tensor(0.0363, device='cuda:0')	0.1
6	tensor(3.6514, device='cuda:0')	tensor(0.0569, device='cuda:0')	0.1
7	tensor(3.4833, device='cuda:0')	tensor(0.0833, device='cuda:0')	0.1
8	tensor(3.2924, device='cuda:0')	tensor(0.1056, device='cuda:0')	0.1
9	tensor(3.1077, device='cuda:0')	tensor(0.1205, device='cuda:0')	0.1
10	tensor(2.8701, device='cuda:0')	tensor(0.1460, device='cuda:0')	0.1
11	tensor(2.6228, device='cuda:0')	tensor(0.1840, device='cuda:0')	0.1
12	tensor(2.3956, device='cuda:0')	tensor(0.2467, device='cuda:0')	0.1
13	tensor(2.2576, device='cuda:0')	tensor(0.2698, device='cuda:0')	0.1
14	tensor(2.0418, device='cuda:0')	tensor(0.3168, device='cuda:0')	0.1
15	tensor(1.9611, device='cuda:0')	tensor(0.3490, device='cuda:0')	0.1
16	tensor(1.7559, device='cuda:0')	tensor(0.4068, device='cuda:0')	0.1
17	tensor(1.7049, device='cuda:0')	tensor(0.4290, device='cuda:0')	0.1
18	tensor(1.6225, device='cuda:0')	tensor(0.4315, device='cuda:0')	0.1
19	tensor(1.5004, device='cuda:0')	tensor(0.4785, device='cuda:0')	0.1
20	tensor(1.4017, device='cuda:0')	tensor(0.5050, device='cuda:0')	0.1
21	tensor(1.2971, device='cuda:0')	tensor(0.5338, device='cuda:0')	0.1
22	tensor(1.1737, device='cuda:0')	tensor(0.5800, device='cuda:0')	0.1
23	tensor(1.1996, device='cuda:0')	tensor(0.5710, device='cuda:0')	0.1
24	tensor(1.2041, device='cuda:0')	tensor(0.5908, device='cuda:0')	0.1
25	tensor(1.1139, device='cuda:0')	tensor(0.6155, device='cuda:0')	0.1
26	tensor(0.9867, device='cuda:0')	tensor(0.6559, device='cuda:0')	0.1
27	tensor(0.9726, device='cuda:0')	tensor(0.6510, device='cuda:0')	0.1
28	tensor(0.9378, device='cuda:0')	tensor(0.6733, device='cuda:0')	0.1
