epoch	loss	acc	lr
1	tensor(5.3058, device='cuda:0')	tensor(0.0140, device='cuda:0')	0.1
2	tensor(4.1948, device='cuda:0')	tensor(0.0182, device='cuda:0')	0.1
3	tensor(4.0551, device='cuda:0')	tensor(0.0305, device='cuda:0')	0.1
4	tensor(3.8843, device='cuda:0')	tensor(0.0512, device='cuda:0')	0.1
5	tensor(3.7055, device='cuda:0')	tensor(0.0685, device='cuda:0')	0.1
6	tensor(3.5092, device='cuda:0')	tensor(0.0883, device='cuda:0')	0.1
7	tensor(3.3339, device='cuda:0')	tensor(0.0998, device='cuda:0')	0.1
8	tensor(2.9531, device='cuda:0')	tensor(0.1411, device='cuda:0')	0.1
9	tensor(2.7460, device='cuda:0')	tensor(0.1865, device='cuda:0')	0.1
10	tensor(2.4904, device='cuda:0')	tensor(0.2236, device='cuda:0')	0.1
11	tensor(2.3343, device='cuda:0')	tensor(0.2558, device='cuda:0')	0.1
12	tensor(2.1731, device='cuda:0')	tensor(0.3036, device='cuda:0')	0.1
13	tensor(2.0288, device='cuda:0')	tensor(0.3490, device='cuda:0')	0.1
14	tensor(1.8573, device='cuda:0')	tensor(0.3853, device='cuda:0')	0.1
15	tensor(1.7193, device='cuda:0')	tensor(0.4026, device='cuda:0')	0.1
16	tensor(1.5633, device='cuda:0')	tensor(0.4827, device='cuda:0')	0.1
17	tensor(1.4584, device='cuda:0')	tensor(0.4983, device='cuda:0')	0.1
18	tensor(1.3443, device='cuda:0')	tensor(0.5248, device='cuda:0')	0.1
19	tensor(1.2962, device='cuda:0')	tensor(0.5536, device='cuda:0')	0.1
20	tensor(1.1759, device='cuda:0')	tensor(0.5792, device='cuda:0')	0.1
21	tensor(1.1349, device='cuda:0')	tensor(0.6262, device='cuda:0')	0.1
22	tensor(1.0614, device='cuda:0')	tensor(0.6287, device='cuda:0')	0.1
23	tensor(0.9920, device='cuda:0')	tensor(0.6485, device='cuda:0')	0.1
24	tensor(0.9175, device='cuda:0')	tensor(0.6650, device='cuda:0')	0.1
25	tensor(0.9435, device='cuda:0')	tensor(0.6650, device='cuda:0')	0.1
